StartDate,EndDate,Status,IPAddress,Duration (in seconds),Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q7,Q8
25/02/2019 14:08,25/02/2019 14:17,IP Address,<removed>,562,TRUE,25/02/2019 14:17,29947389004,<removed>,<removed>,email,EN,Graduate student,UBC-Vancouver,"I have used the UBC Library website or online services,I have visited UBC Library in person",Koerner Library,8,Very satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,Very satisfied,Very satisfied,"Quiet, Inspiring, Serious",8
25/02/2019 14:23,25/02/2019 14:27,IP Address,<removed>,242,TRUE,25/02/2019 14:27,9894477494,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,I have used the UBC Library website or online services,,,Very satisfied,Somewhat satisfied,Very satisfied,Very satisfied,Very satisfied,No opinion,Somewhat satisfied,easy to use,8
25/02/2019 14:31,25/02/2019 14:42,IP Address,<removed>,654,TRUE,25/02/2019 14:42,27051620267,<removed>,<removed>,email,EN,Graduate student,UBC-Vancouver,"I have used the UBC Library website or online services,I have visited UBC Library in person",Woodward Library,8,Somewhat satisfied,No opinion,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,No opinion,Somewhat satisfied,,7
25/02/2019 14:47,25/02/2019 14:56,IP Address,<removed>,533,TRUE,25/02/2019 14:56,67464835972,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",UBC Okanagan Library,7,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,,
25/02/2019 15:45,25/02/2019 15:52,IP Address,<removed>,445,TRUE,25/02/2019 15:52,12204251687,<removed>,<removed>,email,EN,Graduate student,UBC-Vancouver,"I have used the UBC Library website or online services,I have visited UBC Library in person",Woodward Library,10,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Somewhat satisfied,Very satisfied,,10
25/02/2019 15:45,25/02/2019 15:56,IP Address,<removed>,694,TRUE,25/02/2019 15:56,13179084892,<removed>,<removed>,email,EN,Graduate student,UBC-Vancouver,"I have used the UBC Library website or online services,I have visited UBC Library in person","Irving K. Barber Learning Centre (Chapman Learning Commons / Music, Art & Architecture Library)",8,Very satisfied,Very satisfied,Very satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,"Easy, thorough, helpful",9
25/02/2019 15:52,25/02/2019 15:57,IP Address,<removed>,304,TRUE,25/02/2019 15:57,96100959421,<removed>,<removed>,email,EN,Graduate student,UBC-Vancouver,"I have used the UBC Library website or online services,I have visited UBC Library in person",Education Library,8,No opinion,Very satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,New,
25/02/2019 15:58,25/02/2019 16:07,IP Address,<removed>,517,TRUE,25/02/2019 16:07,81161943148,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,I have used the UBC Library website or online services,,,Very satisfied,Somewhat satisfied,Very satisfied,Very satisfied,No opinion,No opinion,Somewhat satisfied,,8
25/02/2019 19:45,25/02/2019 19:55,IP Address,<removed>,556,TRUE,25/02/2019 19:55,93059977384,<removed>,<removed>,email,EN,Graduate student,UBC-Vancouver,"I have used the UBC Library website or online services,I have visited UBC Library in person",Law Library,7,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,accessible,6
25/02/2019 20:50,25/02/2019 20:56,IP Address,<removed>,413,TRUE,25/02/2019 20:56,28524866504,<removed>,<removed>,email,EN,Graduate student,UBC-Vancouver,I have used the UBC Library website or online services,,,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat dissatisfied,"useful, important resource, librarians are awesome",7
25/02/2019 20:26,25/02/2019 21:04,IP Address,<removed>,2274,TRUE,25/02/2019 21:04,49801792552,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,I have used the UBC Library website or online services,,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,"Feel at home, co-operative, warm & affectionate ",
25/02/2019 21:33,25/02/2019 21:41,IP Address,<removed>,456,TRUE,25/02/2019 21:41,8397465653,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",UBC Okanagan Library,8,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Somewhat satisfied,Somewhat satisfied,"helpful, accurate, current ",8
25/02/2019 21:50,25/02/2019 22:07,IP Address,<removed>,1062,TRUE,25/02/2019 22:07,57829822593,<removed>,<removed>,email,EN,Graduate student,UBC-Vancouver,"I have used the UBC Library website or online services,I have visited UBC Library in person",Education Library,8,Somewhat satisfied,Somewhat dissatisfied,Very satisfied,Very satisfied,Somewhat satisfied,Very satisfied,Very satisfied,"Easy to navigate, convenient, resourceful.",10
25/02/2019 23:05,25/02/2019 23:19,IP Address,<removed>,866,TRUE,25/02/2019 23:19,49890727755,<removed>,<removed>,email,EN,Graduate student,UBC-Vancouver,"I have used the UBC Library website or online services,I have visited UBC Library in person","Irving K. Barber Learning Centre (Chapman Learning Commons / Music, Art & Architecture Library)",8,Very satisfied,Somewhat satisfied,No opinion,No opinion,No opinion,No opinion,No opinion,,8
25/02/2019 12:48,25/02/2019 23:55,IP Address,<removed>,39983,TRUE,25/02/2019 23:55,52263461073,<removed>,<removed>,email,EN,Graduate student,UBC-Vancouver,"I have used the UBC Library website or online services,I have visited UBC Library in person",Koerner Library,8,Very satisfied,Somewhat satisfied,No opinion,Very satisfied,Very satisfied,Somewhat satisfied,Somewhat satisfied,"comprehensive, extensive, depth",8
26/02/2019 7:39,26/02/2019 8:00,IP Address,<removed>,1270,TRUE,26/02/2019 8:00,41372137044,<removed>,<removed>,email,EN,Graduate student,UBC-Vancouver,"I have used the UBC Library website or online services,I have visited UBC Library in person","Irving K. Barber Learning Centre (Chapman Learning Commons / Music, Art & Architecture Library)",8,Very satisfied,Very satisfied,Somewhat satisfied,Very satisfied,Very satisfied,Very satisfied,Somewhat satisfied,"okay, sometimes confusing",7
26/02/2019 9:32,26/02/2019 9:42,IP Address,<removed>,565,TRUE,26/02/2019 9:42,51853029444,<removed>,<removed>,email,EN,Graduate student,UBC-Vancouver,"I have used the UBC Library website or online services,I have visited UBC Library in person",Koerner Library,9,Very satisfied,No opinion,Very satisfied,Very satisfied,Very satisfied,Somewhat satisfied,Very satisfied,,8
26/02/2019 9:47,26/02/2019 9:54,IP Address,<removed>,438,TRUE,26/02/2019 9:54,76737649118,<removed>,<removed>,email,EN,Graduate student,UBC-Vancouver,I have used the UBC Library website or online services,,,Somewhat satisfied,No opinion,Very satisfied,Very satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat organized and user friendly,8
26/02/2019 9:50,26/02/2019 10:02,IP Address,<removed>,737,TRUE,26/02/2019 10:02,54069570479,<removed>,<removed>,email,EN,Graduate student,UBC-Vancouver,"I have used the UBC Library website or online services,I have visited UBC Library in person",Koerner Library,8,Somewhat satisfied,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Mostly it works,8
26/02/2019 9:42,26/02/2019 10:33,IP Address,<removed>,3103,TRUE,26/02/2019 10:33,54576212498,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",UBC Okanagan Library,8,Very satisfied,Somewhat satisfied,Very satisfied,Very satisfied,Very satisfied,Somewhat satisfied,Very satisfied,"interesting, quick, accessible ",8
26/02/2019 11:01,26/02/2019 11:04,IP Address,<removed>,200,TRUE,26/02/2019 11:04,20632895934,<removed>,<removed>,email,EN,Graduate student,UBC-Vancouver,I have visited UBC Library in person,Koerner Library,8,,,,,,,,,
26/02/2019 11:01,26/02/2019 11:04,IP Address,<removed>,176,TRUE,26/02/2019 11:04,47990550130,<removed>,<removed>,email,EN,Graduate student,UBC-Vancouver,I have used the UBC Library website or online services,,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,,9
